	loss	accuracy	precision	recall	f1
53	42.40235	0.015625	0.015625	1.0	0.03076923
54	41.209988	0.0390625	0.0390625	1.0	0.075187966
55	42.371307	0.0546875	0.0546875	1.0	0.1037037
56	40.318462	0.0234375	0.0234375	1.0	0.045801528
57	39.159966	0.0625	0.0625	1.0	0.11764706
58	41.521267	0.0390625	0.0390625	1.0	0.075187966
59	41.15903	0.0234375	0.0234375	1.0	0.045801528
60	42.396736	0.0390625	0.0390625	1.0	0.075187966
61	43.23986	0.046875	0.046875	1.0	0.08955224
62	41.868027	0.015625	0.015625	1.0	0.03076923
63	40.660748	0.03125	0.03125	1.0	0.060606062
64	41.94484	0.015625	0.015625	1.0	0.03076923
65	43.09543	0.0234375	0.0234375	1.0	0.045801528
66	42.733646	0.046875	0.046875	1.0	0.08955224
67	41.85613	0.0390625	0.0390625	1.0	0.075187966
68	38.644176	0.0234375	0.0234375	1.0	0.045801528
69	43.117756	0.0390625	0.0390625	1.0	0.075187966
70	41.77456	0.03125	0.03125	1.0	0.060606062
71	42.226143	0.0234375	0.0234375	1.0	0.045801528
72	41.639267	0.03125	0.031496063	0.8	0.060606062
73	41.279396	0.0234375	0.0234375	1.0	0.045801528
74	39.899292	0.015625	0.015625	1.0	0.03076923
0	31.76239	0.0859375	0.05645161	1.0	0.106870234
1	31.79005	0.0703125	0.048	1.0	0.091603056
2	31.504736	0.0703125	0.032520324	1.0	0.062992126
3	31.635908	0.046875	0.024	1.0	0.046875
4	31.233889	0.0703125	0.024590164	1.0	0.048000004
5	31.551546	0.046875	0.03968254	0.8333333	0.07575758
6	31.51567	0.0546875	0.04	0.8333333	0.07633587
7	30.27006	0.0625	0.032258064	1.0	0.0625
8	31.596218	0.0390625	0.016	1.0	0.031496063
9	30.804836	0.0859375	0.064	1.0	0.120300755
10	30.431465	0.0625	0.04761905	1.0	0.090909086
11	30.392399	0.078125	0.040650405	1.0	0.078125
12	30.85255	0.046875	0.016129032	1.0	0.03174603
13	30.230223	0.0234375	0.015748031	1.0	0.031007752
14	30.6211	0.0390625	0.024	0.75	0.046511628
15	30.62094	0.0625	0.04	1.0	0.07692308
16	30.82787	0.09375	0.04918033	1.0	0.09375001
17	29.975128	0.0546875	0.032	1.0	0.06201551
18	30.577042	0.0625	0.04	1.0	0.07692308
19	30.813192	0.078125	0.048387095	1.0	0.092307694
20	30.014647	0.03125	0.023622047	1.0	0.046153847
21	30.367517	0.046875	0.016129032	1.0	0.03174603
22	30.723167	0.0625	0.024390243	1.0	0.04761905
23	30.263807	0.0703125	0.055555556	1.0	0.10526316
24	30.44619	0.0703125	0.048387095	0.85714287	0.091603056
25	30.352596	0.0390625	0.016	1.0	0.031496063
26	30.622694	0.0390625	0.0390625	1.0	0.075187966
27	30.48073	0.03125	0.03125	1.0	0.060606062
28	30.42891	0.0390625	0.016	1.0	0.031496063
29	30.29316	0.03125	0.016	0.6666667	0.031250004
30	30.58673	0.046875	0.03937008	1.0	0.07575758
31	30.241198	0.078125	0.056	1.0	0.10606061
32	30.61915	0.0390625	0.008064516	1.0	0.015999999
33	30.363096	0.0859375	0.04918033	0.85714287	0.09302326
34	29.447407	0.0546875	0.024193548	1.0	0.047244094
35	30.666498	0.1015625	0.07258064	1.0	0.13533834
36	31.037455	0.0234375	0.015873017	0.6666667	0.031007754
37	30.124521	0.046875	0.024	1.0	0.046875
38	30.099535	0.015625	0.007874016	1.0	0.015625
39	29.975468	0.0546875	0.024390243	0.75	0.047244094
40	29.920385	0.0625	0.05511811	1.0	0.104477614
41	30.192835	0.078125	0.03305785	0.8	0.06349206
42	30.07154	0.0703125	0.06349207	0.8888889	0.118518524
43	30.04698	0.078125	0.048387095	1.0	0.092307694
