	accuracy	precision	recall	f1
355	1.0	inf	inf	inf
356	1.0	inf	inf	inf
357	1.0	inf	inf	inf
358	1.0	inf	inf	inf
359	0.875	inf	0.0	inf
360	1.0	inf	inf	inf
361	1.0	inf	inf	inf
362	1.0	inf	inf	inf
363	0.875	inf	0.0	inf
364	1.0	inf	inf	inf
365	1.0	inf	inf	inf
366	1.0	inf	inf	inf
367	1.0	inf	inf	inf
368	1.0	inf	inf	inf
369	1.0	inf	inf	inf
370	1.0	inf	inf	inf
371	0.875	inf	0.0	inf
372	1.0	inf	inf	inf
373	1.0	inf	inf	inf
374	1.0	inf	inf	inf
375	1.0	inf	inf	inf
376	1.0	inf	inf	inf
377	0.75	inf	0.0	inf
378	1.0	inf	inf	inf
379	0.875	0.0	inf	inf
380	1.0	inf	inf	inf
381	0.875	inf	0.0	inf
382	1.0	inf	inf	inf
383	1.0	inf	inf	inf
384	1.0	inf	inf	inf
385	1.0	inf	inf	inf
386	1.0	inf	inf	inf
387	0.875	inf	0.0	inf
388	1.0	inf	inf	inf
389	1.0	inf	inf	inf
390	1.0	inf	inf	inf
391	1.0	inf	inf	inf
392	1.0	inf	inf	inf
393	1.0	inf	inf	inf
394	1.0	inf	inf	inf
395	1.0	inf	inf	inf
396	1.0	inf	inf	inf
397	1.0	inf	inf	inf
398	0.875	inf	0.0	inf
399	0.875	inf	0.0	inf
400	1.0	inf	inf	inf
401	1.0	inf	inf	inf
402	1.0	inf	inf	inf
403	0.875	inf	0.0	inf
404	1.0	inf	inf	inf
405	0.875	inf	0.0	inf
406	1.0	inf	inf	inf
407	1.0	inf	inf	inf
408	1.0	inf	inf	inf
409	1.0	inf	inf	inf
410	1.0	inf	inf	inf
411	1.0	inf	inf	inf
412	1.0	inf	inf	inf
413	1.0	inf	inf	inf
414	1.0	inf	inf	inf
415	1.0	inf	inf	inf
416	1.0	inf	inf	inf
417	1.0	inf	inf	inf
418	1.0	inf	inf	inf
419	1.0	inf	inf	inf
420	1.0	inf	inf	inf
421	1.0	inf	inf	inf
422	0.875	inf	0.0	inf
423	1.0	inf	inf	inf
424	1.0	inf	inf	inf
425	1.0	inf	inf	inf
426	1.0	inf	inf	inf
427	1.0	inf	inf	inf
428	0.875	inf	0.0	inf
429	1.0	inf	inf	inf
430	1.0	inf	inf	inf
431	0.875	inf	0.0	inf
432	0.875	inf	0.0	inf
433	1.0	inf	inf	inf
434	0.875	inf	0.0	inf
435	1.0	inf	inf	inf
436	1.0	inf	inf	inf
437	1.0	inf	inf	inf
438	1.0	inf	inf	inf
439	0.875	inf	0.0	inf
440	0.75	inf	0.0	inf
441	1.0	inf	inf	inf
442	1.0	inf	inf	inf
443	0.875	inf	0.0	inf
444	0.875	inf	0.0	inf
445	0.875	inf	0.0	inf
446	1.0	inf	inf	inf
447	0.875	inf	0.0	inf
448	1.0	inf	inf	inf
449	1.0	inf	inf	inf
450	1.0	inf	inf	inf
451	0.875	inf	0.0	inf
452	0.875	inf	0.0	inf
453	0.75	inf	0.0	inf
454	1.0	inf	inf	inf
455	1.0	inf	inf	inf
456	1.0	inf	inf	inf
457	1.0	inf	inf	inf
458	0.875	inf	0.0	inf
459	1.0	inf	inf	inf
460	1.0	inf	inf	inf
461	1.0	inf	inf	inf
462	1.0	inf	inf	inf
463	1.0	inf	inf	inf
464	0.875	inf	0.0	inf
465	0.75	inf	0.0	inf
466	0.875	inf	0.0	inf
467	1.0	inf	inf	inf
468	1.0	inf	inf	inf
469	0.875	inf	0.0	inf
470	1.0	inf	inf	inf
471	1.0	inf	inf	inf
472	0.875	inf	0.0	inf
473	0.875	inf	0.0	inf
474	1.0	inf	inf	inf
475	1.0	inf	inf	inf
